Category,Category_1,Category_2,Entity
education/field_of_study,education,field_of_study,Ethnology
education/field_of_study,education,field_of_study,Glossary of archaeology
education/field_of_study,education,field_of_study,Glossary of plant morphology
education/field_of_study,education,field_of_study,Knowledge
education/field_of_study,education,field_of_study,Literacy
education/field_of_study,education,field_of_study,Sinology
education/school_category,education,school_category,Han Lin
emotion,emotion,emotion,Compassion
emotion,emotion,emotion,Deference
emotion,emotion,emotion,Dignity
emotion,emotion,emotion,Fidelity
emotion,emotion,emotion,Gesture
emotion,emotion,emotion,Happiness
emotion,emotion,emotion,Religious experience
entertainment,entertainment,entertainment,Dance
event,event,event,Ceremony
event,event,event,Festival
event,event,event,Fireworks
event,event,event,French Revolution
event,event,event,Funeral
event,event,event,Hundred Days' Reform
event,event,event,Lantern Festival
event,event,event,Oil spill
event,event,event,Parade
event,event,event,Pollution
event,event,event,Treaty
event,event,event,Treaty of Nanking
event,event,event,Urbanization
event,event,event,War
fashion/accessory,fashion,accessory,Belt buckle
fashion/accessory,fashion,accessory,Buckle
fashion/accessory,fashion,accessory,Button
fashion/accessory,fashion,accessory,Diadem
fashion/accessory,fashion,accessory,Hairpin
fashion/accessory,fashion,accessory,Headband
fashion/accessory,fashion,accessory,Jewellery
fashion/accessory,fashion,accessory,Pendant
fashion/accessory,fashion,accessory,Prayer beads
fashion/accessory,fashion,accessory,Tassel
fashion/accessory,fashion,accessory,Umbrella
fashion,fashion,fashion,Clothing
fashion,fashion,fashion,Hairstyle
fashion/garment,fashion,garment,Apron
fashion/garment,fashion,garment,Belt (clothing)
fashion/garment,fashion,garment,Cloak
fashion/garment,fashion,garment,Dress
fashion/garment,fashion,garment,Hat
fashion/garment,fashion,garment,Headgear
fashion/garment,fashion,garment,Overcoat
fashion/garment,fashion,garment,Pillow
fashion/garment,fashion,garment,Robe
fashion/garment,fashion,garment,Trousers
fashion/weave,fashion,weave,Embroidery
fashion/weave,fashion,weave,Persian carpet
fashion/weave,fashion,weave,Satin
fashion/weave,fashion,weave,Thread (yarn)
fictional_universe/character_species,fictional_universe,character_species,Nāga
fictional_universe/fictional_character,fictional_universe,fictional_character,Monster
fictional_universe/fictional_character,fictional_universe,fictional_character,Pangu
fictional_universe/fictional_character,fictional_universe,fictional_character,Sea monster
fictional_universe/fictional_setting,fictional_universe,fictional_setting,Astrée
fictional_universe/fictional_setting,fictional_universe,fictional_setting,Mount Penglai
